"MCQ120D.Code.or.Value","MCQ120D.Value.Description","MCQ120D.Count","MCQ120D.Cumulative","MCQ120D.Skip.to.Item"
"1","Yes",142,142,NA
"2","No",2766,2908,NA
"7","Refused",0,2908,NA
"9","Don't know",0,2908,NA
".","Missing",7562,10470,NA
