"AUXLR256.Code.or.Value","AUXLR256.Value.Description","AUXLR256.Count","AUXLR256.Cumulative","AUXLR256.Skip.to.Item"
"-6 to 70","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
