"MCQ050.Code.or.Value","MCQ050.Value.Description","MCQ050.Count","MCQ050.Cumulative","MCQ050.Skip.to.Item"
"1","Yes",147,147,NA
"2","No",289,436,NA
"7","Refused",0,436,NA
"9","Don't know",0,436,NA
".","Missing",9209,9645,NA
