"URDSCNLC.Code.or.Value","URDSCNLC.Value.Description","URDSCNLC.Count","URDSCNLC.Cumulative","URDSCNLC.Skip.to.Item"
"0","At or above the detection limit",2841,2841,NA
"1","Below lower detection limit",3,2844,NA
".","Missing",97,2941,NA
