"OHD03LAS.Code.or.Value","OHD03LAS.Value.Description","OHD03LAS.Count","OHD03LAS.Cumulative","OHD03LAS.Skip.to.Item"
"0 to 9","Range of Values",1361,1361,NA
"99","Calculation cannot be determined",433,1794,NA
".","Missing",4964,6758,NA
