"DR2IP225.Code.or.Value","DR2IP225.Value.Description","DR2IP225.Count","DR2IP225.Cumulative","DR2IP225.Skip.to.Item"
"0 to 0.593","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
