"RFXT062.Code.or.Value","RFXT062.Value.Description","RFXT062.Count","RFXT062.Cumulative","RFXT062.Skip.to.Item"
"531 to 539","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
