"OSD030ca.Code.or.Value","OSD030ca.Value.Description","OSD030ca.Count","OSD030ca.Cumulative","OSD030ca.Skip.to.Item"
"1 to 76","Range of Values",88,88,NA
"85","85 or older",0,88,NA
"77777","Refused",0,88,NA
"99999","Don't know",3,91,NA
".","Missing",4789,4880,NA
