"DR2IVB1.Code.or.Value","DR2IVB1.Value.Description","DR2IVB1.Count","DR2IVB1.Cumulative","DR2IVB1.Skip.to.Item"
"0 to 10.478","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
