"URDDPMLC.Code.or.Value","URDDPMLC.Value.Description","URDDPMLC.Count","URDDPMLC.Cumulative","URDDPMLC.Skip.to.Item"
"0","At or above the detection limit",6,6,NA
"1","Below lower detection limit",2234,2240,NA
".","Missing",109,2349,NA
