"VIXKLCG.Code.or.Value","VIXKLCG.Value.Description","VIXKLCG.Count","VIXKLCG.Cumulative","VIXKLCG.Skip.to.Item"
"0 to 179","Range of Values",6460,6460,NA
"888","Could not obtain",67,6527,NA
".","Missing",453,6980,NA
