"FSQ440.Code.or.Value","FSQ440.Value.Description","FSQ440.Count","FSQ440.Cumulative","FSQ440.Skip.to.Item"
"1","Yes",93,93,NA
"2","No",1450,1543,NA
"7","Refused",3,1546,NA
"9","Don't know",39,1585,NA
".","Missing",8564,10149,NA
