"CIQP13I.Code.or.Value","CIQP13I.Value.Description","CIQP13I.Count","CIQP13I.Cumulative","CIQP13I.Skip.to.Item"
"1","Yes",54,54,NA
"2","No",54,108,NA
"7","Refused",0,108,NA
"9","Don't know",0,108,NA
".","Missing",742,850,NA
