"MCQ300c.Code.or.Value","MCQ300c.Value.Description","MCQ300c.Count","MCQ300c.Cumulative","MCQ300c.Skip.to.Item"
"1","Yes",2301,2301,NA
"2","No",3351,5652,NA
"7","Refused",0,5652,NA
"9","Don't know",117,5769,NA
".","Missing",4001,9770,NA
