"DXXTRLI.Code.or.Value","DXXTRLI.Value.Description","DXXTRLI.Count","DXXTRLI.Cumulative","DXXTRLI.Skip.to.Item"
"5455.3 to 54681.1","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
