"RFXT094.Code.or.Value","RFXT094.Value.Description","RFXT094.Count","RFXT094.Cumulative","RFXT094.Skip.to.Item"
"814 to 822","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
