"LBDVC6LC.Code.or.Value","LBDVC6LC.Value.Description","LBDVC6LC.Count","LBDVC6LC.Cumulative","LBDVC6LC.Skip.to.Item"
"0","At or above detection limit",46,46,NA
"1","Below lower detection limit",2919,2965,NA
"2","Detectable result and exceeds the calibrated range of assay",0,2965,NA
".","Missing",429,3394,NA
