"URDUABLC.Code.or.Value","URDUABLC.Value.Description","URDUABLC.Count","URDUABLC.Cumulative","URDUABLC.Skip.to.Item"
"0","At or above the detection limit",1164,1164,NA
"1","Below lower detection limit",1224,2388,NA
".","Missing",74,2462,NA
