"DIQ160.Code.or.Value","DIQ160.Value.Description","DIQ160.Count","DIQ160.Cumulative","DIQ160.Skip.to.Item"
"1","Yes",278,278,NA
"2","No",6001,6279,NA
"7","Refused",0,6279,NA
"9","Don't know",8,6287,NA
".","Missing",3483,9770,NA
