"ARQ030A.Code.or.Value","ARQ030A.Value.Description","ARQ030A.Count","ARQ030A.Cumulative","ARQ030A.Skip.to.Item"
"1","Yes",1079,1079,""
"2","No",343,1422,"ARQ030b"
"7","Refused",0,1422,"ARQ030b"
"9","Don't know",0,1422,"ARQ030b"
".","Missing",3684,5106,""
