"DXXSPY.Code.or.Value","DXXSPY.Value.Description","DXXSPY.Count","DXXSPY.Cumulative","DXXSPY.Skip.to.Item"
"0 to 1","Range of Values",3242,3242,NA
".","Missing",466,3708,NA
