"ACD010A.Code.or.Value","ACD010A.Value.Description","ACD010A.Count","ACD010A.Cumulative","ACD010A.Skip.to.Item"
"1","English",4817,4817,NA
"77","Refused",1,4818,NA
"99","Don't know",0,4818,NA
".","Missing",2355,7173,NA
