"SPAFACT.Code.or.Value","SPAFACT.Value.Description","SPAFACT.Count","SPAFACT.Cumulative","SPAFACT.Skip.to.Item"
"1.051 to 1.129","Range of Values",36421,36421,NA
".","Missing",0,36421,NA
