"URD4TOLC.Code.or.Value","URD4TOLC.Value.Description","URD4TOLC.Count","URD4TOLC.Cumulative","URD4TOLC.Skip.to.Item"
"0","At or above the detection limit",155,155,NA
"1","Below lower detection limit",2393,2548,NA
".","Missing",90,2638,NA
