"WTSPH15.Code.or.Value","WTSPH15.Value.Description","WTSPH15.Count","WTSPH15.Cumulative","WTSPH15.Skip.to.Item"
"0 to 800067.91928","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
