"DR1IS100.Code.or.Value","DR1IS100.Value.Description","DR1IS100.Count","DR1IS100.Cumulative","DR1IS100.Skip.to.Item"
"0 to 2.87","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
