"DR1ILYCO.Code.or.Value","DR1ILYCO.Value.Description","DR1ILYCO.Count","DR1ILYCO.Cumulative","DR1ILYCO.Skip.to.Item"
"0 to 162485","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
