"WTSPH49.Code.or.Value","WTSPH49.Value.Description","WTSPH49.Count","WTSPH49.Cumulative","WTSPH49.Skip.to.Item"
"0.0000000 to 780791.2082200","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
