"WTSPP52.Code.or.Value","WTSPP52.Value.Description","WTSPP52.Count","WTSPP52.Cumulative","WTSPP52.Skip.to.Item"
"0 to 828272.39833","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
