"TYXP099.Code.or.Value","TYXP099.Value.Description","TYXP099.Count","TYXP099.Cumulative","TYXP099.Skip.to.Item"
"-283 to 129","Range of Values",5567,5567,NA
".","Missing",18,5585,NA
