"SPDBACC.Code.or.Value","SPDBACC.Value.Description","SPDBACC.Count","SPDBACC.Cumulative","SPDBACC.Skip.to.Item"
"2 to 8","Range of Values",457,457,NA
".","Missing",7038,7495,NA
