"LBD170LC.Code.or.Value","LBD170LC.Value.Description","LBD170LC.Count","LBD170LC.Cumulative","LBD170LC.Skip.to.Item"
"0","At or above the detection limit",259,259,NA
"1","Below lower detection limit",5,264,NA
".","Missing",0,264,NA
