"DR2IVARA.Code.or.Value","DR2IVARA.Value.Description","DR2IVARA.Count","DR2IVARA.Cumulative","DR2IVARA.Skip.to.Item"
"0 to 19352","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
