"RHQ340.Code.or.Value","RHQ340.Value.Description","RHQ340.Count","RHQ340.Cumulative","RHQ340.Skip.to.Item"
"25 to 60","Range of Values",18,18,NA
"777","Refused",0,18,NA
"999","Don't know",1,19,NA
".","Missing",3846,3865,NA
