"MCQ160c.Code.or.Value","MCQ160c.Value.Description","MCQ160c.Count","MCQ160c.Cumulative","MCQ160c.Skip.to.Item"
"1","Yes",244,244,NA
"2","No",5449,5693,NA
"7","Refused",0,5693,NA
"9","Don't know",26,5719,NA
".","Missing",3856,9575,NA
