"DR2IATOC.Code.or.Value","DR2IATOC.Value.Description","DR2IATOC.Count","DR2IATOC.Cumulative","DR2IATOC.Skip.to.Item"
"0 to 88.86","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
