"LBDTCSI.Code.or.Value","LBDTCSI.Value.Description","LBDTCSI.Count","LBDTCSI.Cumulative","LBDTCSI.Skip.to.Item"
"1.97 to 11.53","Range of Values",6738,6738,NA
".","Missing",697,7435,NA
