"VIQ191.Code.or.Value","VIQ191.Value.Description","VIQ191.Count","VIQ191.Cumulative","VIQ191.Skip.to.Item"
"1","Right",5,5,NA
"2","Left",3,8,NA
"3","Both",50,58,NA
".","Missing",6932,6990,NA
