"WTSBA24.Code.or.Value","WTSBA24.Value.Description","WTSBA24.Count","WTSBA24.Cumulative","WTSBA24.Skip.to.Item"
"0 to 354951.09961","Range of Values",946,946,NA
".","Missing",65,1011,NA
