"MCQ240AA.Code.or.Value","MCQ240AA.Value.Description","MCQ240AA.Count","MCQ240AA.Cumulative","MCQ240AA.Skip.to.Item"
"18","18",1,1,NA
"85","85 years or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",9821,9822,NA
