"CBQ698i.Code.or.Value","CBQ698i.Value.Description","CBQ698i.Count","CBQ698i.Cumulative","CBQ698i.Skip.to.Item"
"9","I can't read English that well",30,30,NA
".","Missing",6369,6399,NA
