"DS1IMAGN.Code.or.Value","DS1IMAGN.Value.Description","DS1IMAGN.Count","DS1IMAGN.Cumulative","DS1IMAGN.Skip.to.Item"
"0.4 to 3000","Range of Values",1294,1294,NA
".","Missing",4076,5370,NA
