"ARQ021CA.Code.or.Value","ARQ021CA.Value.Description","ARQ021CA.Count","ARQ021CA.Cumulative","ARQ021CA.Skip.to.Item"
"3","stiffness?",333,333,NA
".","Missing",4773,5106,NA
