"BMXLEG.Code.or.Value","BMXLEG.Value.Description","BMXLEG.Count","BMXLEG.Cumulative","BMXLEG.Skip.to.Item"
"23.6 to 55","Range of Values",7225,7225,NA
".","Missing",2057,9282,NA
