"AUDTYR32.Code.or.Value","AUDTYR32.Value.Description","AUDTYR32.Count","AUDTYR32.Cumulative","AUDTYR32.Skip.to.Item"
"0 to 2.25","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
