"WTMREP09.Code.or.Value","WTMREP09.Value.Description","WTMREP09.Count","WTMREP09.Cumulative","WTMREP09.Skip.to.Item"
"0 to 263135.14291","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
