"SIALANG.Code.or.Value","SIALANG.Value.Description","SIALANG.Count","SIALANG.Cumulative","SIALANG.Skip.to.Item"
"1","English",8991,8991,NA
"2","Spanish",1131,10122,NA
".","Missing",0,10122,NA
