"URDUSNLC.Code.or.Value","URDUSNLC.Value.Description","URDUSNLC.Count","URDUSNLC.Cumulative","URDUSNLC.Skip.to.Item"
"0","At or above the detection limit",2412,2412,NA
"1","Below lower detection limit",252,2664,NA
".","Missing",91,2755,NA
