"CIQP13G.Code.or.Value","CIQP13G.Value.Description","CIQP13G.Count","CIQP13G.Cumulative","CIQP13G.Skip.to.Item"
"1","Yes",50,50,NA
"2","No",68,118,NA
"7","Refused",0,118,NA
"9","Don't know",0,118,NA
".","Missing",810,928,NA
