"VTQ240B.Code.or.Value","VTQ240B.Value.Description","VTQ240B.Count","VTQ240B.Cumulative","VTQ240B.Skip.to.Item"
"1 to 72","Range of Values",1248,1248,NA
"777","Refused",0,1248,NA
"999","Don't know",4,1252,NA
".","Missing",2293,3545,NA
