"TYXP100.Code.or.Value","TYXP100.Value.Description","TYXP100.Count","TYXP100.Cumulative","TYXP100.Skip.to.Item"
"-288 to 195","Range of Values",5567,5567,NA
".","Missing",18,5585,NA
