"DSQTMAGN.Code.or.Value","DSQTMAGN.Value.Description","DSQTMAGN.Count","DSQTMAGN.Cumulative","DSQTMAGN.Skip.to.Item"
"0.08 to 3390","Range of Values",1441,1441,NA
".","Missing",7813,9254,NA
