"SMQ680.Code.or.Value","SMQ680.Value.Description","SMQ680.Count","SMQ680.Cumulative","SMQ680.Skip.to.Item"
"1","Yes",1245,1245,""
"2","No",4620,5865,"SMAQUEX"
"7","Refused",0,5865,"SMAQUEX"
"9","Don't know",3,5868,"SMAQUEX"
".","Missing",681,6549,""
