"URDSSFLC.Code.or.Value","URDSSFLC.Value.Description","URDSSFLC.Count","URDSSFLC.Cumulative","URDSSFLC.Skip.to.Item"
"0","At or above the detection limit",1,1,NA
"1","Below lower detection limit",2529,2530,NA
".","Missing",164,2694,NA
