"URXTCV.Code.or.Value","URXTCV.Value.Description","URXTCV.Count","URXTCV.Cumulative","URXTCV.Skip.to.Item"
"2.12 to 9.49","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
