"LBDSCASI.Code.or.Value","LBDSCASI.Value.Description","LBDSCASI.Count","LBDSCASI.Cumulative","LBDSCASI.Skip.to.Item"
"1.725 to 3.1","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
