"AUXLR161.Code.or.Value","AUXLR161.Value.Description","AUXLR161.Count","AUXLR161.Cumulative","AUXLR161.Skip.to.Item"
"-13 to 40","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
