"AUDTYR25.Code.or.Value","AUDTYR25.Value.Description","AUDTYR25.Count","AUDTYR25.Cumulative","AUDTYR25.Skip.to.Item"
"0 to 1.47","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
