"URDUCDLC.Code.or.Value","URDUCDLC.Value.Description","URDUCDLC.Count","URDUCDLC.Cumulative","URDUCDLC.Skip.to.Item"
"0","At or above the detection limit",2332,2332,NA
"1","Below lower detection limit",196,2528,NA
".","Missing",77,2605,NA
