"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"9 to 774","Range of Values",2659,2659,NA
".","Missing",61,2720,NA
