"AUXRR152.Code.or.Value","AUXRR152.Value.Description","AUXRR152.Count","AUXRR152.Cumulative","AUXRR152.Skip.to.Item"
"-31 to 58","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
