"FSQ165.Code.or.Value","FSQ165.Value.Description","FSQ165.Count","FSQ165.Cumulative","FSQ165.Skip.to.Item"
"1","Yes",3075,3075,""
"2","No",6987,10062,"FSQ162"
"7","Refused",5,10067,"FSQ162"
"9","Don't know",5,10072,"FSQ162"
".","Missing",77,10149,""
