"DR2DBIH.Code.or.Value","DR2DBIH.Value.Description","DR2DBIH.Count","DR2DBIH.Cumulative","DR2DBIH.Skip.to.Item"
"-38 to 178","Range of Values",7638,7638,NA
".","Missing",1700,9338,NA
