"BPQ100B.Code.or.Value","BPQ100B.Value.Description","BPQ100B.Count","BPQ100B.Cumulative","BPQ100B.Skip.to.Item"
"1","Yes",492,492,NA
"2","No",141,633,NA
"7","Refused",0,633,NA
"9","Don't know",2,635,NA
".","Missing",5409,6044,NA
